pl_name,hostname,default_flag,pl_bmassprov,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim
WASP-1 b,WASP-1,0,Mass,0,16.97,0.583,-0.527,0,291.76794,28.92253,-28.6047,0,2.519961,,,0,1811.0,34.0,-27.0,0,,,,0,1.52,0.05,,0,1.3,0.05,,0,,,,0
HAT-P-28 b,HAT-P-28,1,Mass,0,13.585,1.267,-0.919,0,198.953,11.759,-11.759,0,3.257215,7e-06,-7e-06,0,1384.0,52.0,-52.0,0,5680.0,90.0,-90.0,0,1.1,0.09,-0.07,0,1.02,0.05,-0.05,0,4.36,0.06,-0.06,0
WASP-1 b,WASP-1,0,Mass,0,16.97,0.58,-0.53,0,292.0,29.0,-29.0,0,2.5199449,1.3e-06,-1.3e-06,0,,,,0,6110.0,45.0,,0,,,,0,,,,0,,,,0
HAT-P-30 b,HAT-P-30,0,Mass,0,15.02,0.729,-0.729,0,237.10118,6.3566,-6.67443,0,2.810595,5e-06,-5e-06,0,,,,0,6304.0,88.0,-88.0,0,1.22,0.05,-0.05,0,1.24,0.04,-0.04,0,,,,0
WASP-62 b,WASP-62,1,Mass,0,14.796,0.897,-0.897,0,165.2716,25.4264,-25.4264,0,4.41195,3e-06,-3e-06,0,,,,0,6230.0,80.0,-80.0,0,1.23,0.08,-0.08,0,1.11,0.25,-0.25,0,4.45,0.1,-0.1,0
K2-266 d,K2-266,1,Mass,0,2.93,0.14,-0.12,0,8.9,5.7,-3.8,0,14.697,0.00034,-0.00035,0,538.3,6.5,-6.3,0,4285.0,49.0,-57.0,0,0.7,0.02,-0.02,0,0.69,0.03,-0.03,0,4.58,0.03,-0.04,0
HD 73583 b,HD 73583,1,Mass,0,2.79,0.1,-0.1,0,10.2,3.4,-3.1,0,6.398042,6.7e-06,-6.2e-06,0,714.0,21.0,-20.0,0,4511.0,110.0,-110.0,0,0.65,0.02,-0.02,0,0.73,0.02,-0.02,0,4.62,0.12,-0.12,0
WASP-1 b,WASP-1,0,Mass,0,16.634,0.661,-1.02,0,273.3338,22.88376,-22.88376,0,2.519961,1.8e-05,-1.8e-05,0,1800.0,32.0,-49.0,0,6110.0,50.0,-50.0,0,1.46,0.05,-0.08,0,1.24,0.04,-0.04,0,4.21,0.04,-0.03,0
WASP-1 b,WASP-1,1,Mass,0,16.623,0.269,-0.381,0,271.415,18.116,-16.526,0,2.5199454,5e-07,-5e-07,0,,,,0,,,,0,1.47,0.02,-0.03,0,1.24,0.05,-0.07,0,,,,0
Qatar-3 b,Qatar-3,1,Mass,0,12.285,1.569,-1.569,0,1369.8473,149.3801,-149.3801,0,2.5079204,,,0,1681.0,84.0,-84.0,0,6007.0,52.0,-52.0,0,1.27,0.14,-0.14,0,1.15,0.06,-0.06,0,4.29,0.08,-0.08,0
WASP-60 b,WASP-60,1,Mass,0,9.864,1.345,-1.345,0,174.8065,60.3877,-60.3877,0,4.305,6e-06,-6e-06,0,,,,0,5900.0,100.0,-100.0,0,1.17,0.15,-0.15,0,1.19,0.61,-0.61,0,4.2,0.1,-0.1,0
WASP-60 b,WASP-60,0,Mass,0,9.64,1.345,-1.345,0,160.50415,15.25584,-15.25584,0,4.3050011,6.2e-06,-6.2e-06,0,,,,0,5900.0,100.0,-100.0,0,1.14,0.13,-0.13,0,1.08,0.04,-0.04,0,,,,0
WASP-1 b,WASP-1,0,Mass,0,16.97,0.583,-0.527,0,301.30284,9.21707,-8.89924,0,2.5199448,5e-07,-5e-07,0,,,,0,6110.0,75.0,-75.0,0,1.52,0.05,-0.04,0,1.3,0.05,-0.05,0,,,,0
Qatar-7 b,Qatar-7,1,Mass,0,19.055,0.336,-0.336,0,597.5204,79.4575,-79.4575,0,2.032046,9.7e-06,-1.4e-05,0,2053.0,15.0,-15.0,0,6387.0,38.0,-38.0,0,1.56,0.02,-0.02,0,1.41,0.03,-0.03,0,4.2,0.03,-0.03,0
HAT-P-28 b,HAT-P-28,0,Mass,0,13.585,1.233,-0.919,0,202.45771,11.75971,-11.75971,0,3.257215,7e-06,-7e-06,0,,,,0,5680.0,90.0,-90.0,0,1.1,0.09,-0.07,0,1.02,0.05,-0.05,0,,,,0
WASP-60 b,WASP-60,0,Mass,0,13.731,0.773,-0.773,0,177.9848,11.44188,-11.44188,0,4.305004,5.9e-06,-5.9e-06,0,1479.0,35.0,-35.0,0,6105.0,50.0,-50.0,0,1.4,0.07,-0.07,0,1.23,0.03,-0.03,0,4.24,0.04,-0.04,0
