,m,T,a,p,wf,sys,ims
3070,0.09240054339170456,685.8121960429668,0.1655000001192093,24.592462175863055,,"('Gen-O-s22', 'run_50')","{'collision_time': array([0.00263489]), 'mass_i': array([0.09240054]), 'mass_j': array([0.08949853]), 'particle_i': array([34], dtype=int64), 'particle_j': array([33], dtype=int64)}"
3075,0.004212141968309879,1197.3036111411197,0.05429999902844429,4.621731879923325,,"('Gen-O-s5', 'run_01')","{'collision_time': array([0.00316223, 0.01067921, 0.0772028 ]), 'mass_i': array([0.00421214, 0.00837637, 0.01249343]), 'mass_j': array([0.00416422, 0.00411707, 0.01207526]), 'particle_i': array([7, 7, 7], dtype=int64), 'particle_j': array([6, 5, 4], dtype=int64)}"
3076,0.016269009560346603,486.11878516358775,0.3294000029563904,69.05424997079004,,"('Gen-O-s5', 'run_01')","{'collision_time': array([0.02517904, 0.14826978, 0.43797124, 0.81828766]), 'mass_i': array([0.01626901, 0.0322495 , 0.04663305, 0.06152444]), 'mass_j': array([0.0159805 , 0.01438354, 0.01489139, 0.02956092]), 'particle_i': array([102, 102, 102, 102], dtype=int64), 'particle_j': array([101,  95,  97,  99], dtype=int64)}"
3077,0.018850453197956085,440.2032988456756,0.4016999900341034,92.99460324965897,,"('Gen-O-s5', 'run_01')","{'collision_time': array([0.08070983, 0.20641891, 0.51013742]), 'mass_i': array([0.01885045, 0.03734997, 0.07139636]), 'mass_j': array([0.01849951, 0.03404639, 0.01569873]), 'particle_i': array([110, 110, 110], dtype=int64), 'particle_j': array([109, 105, 100], dtype=int64)}"
3085,0.004790689796209335,1097.7108326170992,0.06459999829530716,5.997272386782304,,"('Gen-O-s5', 'run_01')","{'collision_time': array([0.00511666, 0.01527081]), 'mass_i': array([0.00479069, 0.00941367]), 'mass_j': array([0.00462298, 0.0094119 ]), 'particle_i': array([18, 18], dtype=int64), 'particle_j': array([15, 17], dtype=int64)}"
3086,0.006740945857018232,874.0114435382955,0.10189999639987946,11.881363076242163,,"('Gen-O-s5', 'run_01')","{'collision_time': array([0.00764399, 0.00792496, 0.0231558 , 0.05371163]), 'mass_i': array([0.00674095, 0.0132181 , 0.02643307, 0.03265992]), 'mass_j': array([0.00647715, 0.01321497, 0.00622685, 0.01270105]), 'particle_i': array([45, 45, 45, 45], dtype=int64), 'particle_j': array([42, 44, 39, 41], dtype=int64)}"
3087,0.008299429900944233,761.8856717920052,0.13410000503063202,17.93693381613712,,"('Gen-O-s5', 'run_01')","{'collision_time': array([0.01945078, 0.04368287, 0.05845356, 0.88430306]), 'mass_i': array([0.00829943, 0.01636501, 0.02454642, 0.0389751 ]), 'mass_j': array([0.00806558, 0.00818141, 0.01442867, 0.03050458]), 'particle_i': array([60, 60, 60, 60], dtype=int64), 'particle_j': array([58, 59, 51, 56], dtype=int64)}"
3088,0.011403068900108337,616.9607589980685,0.2045000046491623,33.77886072142525,,"('Gen-O-s5', 'run_01')","{'collision_time': array([0.03753225, 0.06390614, 0.06959374, 0.2162379 , 0.99584812]), 'mass_i': array([0.01140307, 0.0222772 , 0.03332426, 0.0435429 , 0.0644602 ]), 'mass_j': array([0.01087413, 0.01104707, 0.01021864, 0.0209173 , 0.03935016]), 'particle_i': array([81, 81, 81, 81, 81], dtype=int64), 'particle_j': array([78, 79, 74, 76, 73], dtype=int64)}"
3089,0.013664785772562027,545.5924550628301,0.2615000009536743,48.84415004016317,,"('Gen-O-s5', 'run_01')","{'collision_time': array([0.0296464 , 0.05300161, 0.10407929, 0.16707435, 1.22023924]), 'mass_i': array([0.01366479, 0.02710011, 0.04009254, 0.05245648, 0.06566825]), 'mass_j': array([0.01343532, 0.01299243, 0.01236394, 0.01321177, 0.04712909]), 'particle_i': array([92, 92, 92, 92, 92], dtype=int64), 'particle_j': array([91, 89, 86, 90, 85], dtype=int64)}"
3090,0.01849951222538948,446.5286230745796,0.3903999924659729,89.09836106034084,,"('Gen-O-s5', 'run_02')","{'collision_time': array([0.06895832, 0.51755178, 2.50899628, 7.68432864]), 'mass_i': array([0.01849951, 0.03665652, 0.05322164, 0.06760518]), 'mass_j': array([0.01815701, 0.01656512, 0.01438354, 0.05154285]), 'particle_i': array([109, 109, 109, 109], dtype=int64), 'particle_j': array([108, 103,  95, 106], dtype=int64)}"
