System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
Kepler-328b,KTEP,295.80929,40.0085,15.81,14.18,0.362,0.05,2454990.597,0.01416,34.921172,0.000785,6210,200,200,0.09,0.5,0.5,1.161,-1,-1,1.078,0.396,0.396,4.438,0.3,0.3,1.308,0.442,0.442,-1,-1,-1,-1,-1,-1,0,0.074,0,0.223,0.083,0.083,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-328c,KTEP,295.80929,40.0085,15.81,14.18,0.3673,0.22,2454965.393,0.00435,71.31125,0.000597,6210,200,200,0.09,0.5,0.5,1.161,-1,-1,1.078,0.396,0.396,4.438,0.3,0.3,1.308,0.442,0.442,-1,-1,-1,-1,-1,-1,0,2.75,0,0.451,0.166,0.166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-329b,KTEP,299.26804,45.22742,15.84,12.69,0.0903,0.05,2454968.853,0.00402,7.416397,0.000046,4257,200,200,-0.57,0.5,0.5,0.546,-1,-1,0.523,0.052,0.052,4.74,0.3,0.3,5.389,0.934,0.934,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.125,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-329c,KTEP,299.26804,45.22742,15.84,12.69,0.1645,0.12,2454969.148,0.00273,18.684737,0.000089,4257,200,200,-0.57,0.5,0.5,0.546,-1,-1,0.523,0.052,0.052,4.74,0.3,0.3,5.389,0.934,0.934,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.172,0.026,0.026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-330b,KTEP,288.44737,44.80169,15.51,13.25,0.1252,0.03,2454986.983,0.0066,8.25978,0.000076,5117,200,200,-0.1,0.5,0.5,0.82,-1,-1,0.722,0.267,0.267,4.636,0.3,0.3,3.076,0.908,0.908,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12,0.047,0.047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-330c,KTEP,288.44737,44.80169,15.51,13.25,0.1632,0.08,2454976.304,0.00291,15.955387,0.000076,5117,200,200,-0.1,0.5,0.5,0.82,-1,-1,0.722,0.267,0.267,4.636,0.3,0.3,3.076,0.908,0.908,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.174,0.064,0.064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-331b,KTEP,291.83433,39.30736,16.24,13.34,0.096,0.14,2454966.87,0.00185,8.457496,0.000024,4347,200,200,-0.85,0.5,0.5,0.518,-1,-1,0.492,0.047,0.047,4.768,0.3,0.3,6.138,1.041,1.041,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.162,0.017,0.017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-331c,KTEP,291.83433,39.30736,16.24,13.34,0.1155,0.15,2454969.008,0.00216,17.28111,0.000064,4347,200,200,-0.85,0.5,0.5,0.518,-1,-1,0.492,0.047,0.047,4.768,0.3,0.3,6.138,1.041,1.041,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.164,0.017,0.017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-331d,KTEP,291.83433,39.30736,16.24,13.34,0.1173,0.12,2454975.268,0.00375,32.134328,0.000216,4347,200,200,-0.85,0.5,0.5,0.518,-1,-1,0.492,0.047,0.047,4.768,0.3,0.3,6.138,1.041,1.041,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.146,0.015,0.015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-332b,KTEP,286.66296,47.41369,14.26,11.97,0.0987,0.03,2454969.017,0.00221,7.626324,0.000028,4955,100,100,-0.1,0.1,0.1,0.775,-1,-1,0.72,0.041,0.041,4.611,0.15,0.15,2.928,0.399,0.399,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.104,0.007,0.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-332c,KTEP,286.66296,47.41369,14.26,11.97,0.1408,0.02,2454977.238,0.00423,15.995622,0.000108,4955,100,100,-0.1,0.1,0.1,0.775,-1,-1,0.72,0.041,0.041,4.611,0.15,0.15,2.928,0.399,0.399,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.097,0.007,0.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-332d,KTEP,286.66296,47.41369,14.26,11.97,0.1962,0.03,2454987.577,0.00584,34.21154,0.000326,4955,100,100,-0.1,0.1,0.1,0.775,-1,-1,0.72,0.041,0.041,4.611,0.15,0.15,2.928,0.399,0.399,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.105,0.007,0.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-333b,KTEP,292.28608,40.91358,15.15,12.11,0.134,0.05,2454970.261,0.00226,12.551158,0.000044,4259,200,200,-0.47,0.5,0.5,0.56,-1,-1,0.534,0.054,0.054,4.732,0.3,0.3,5.187,1.002,1.002,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.118,0.014,0.014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-333c,KTEP,292.28608,40.91358,15.15,12.11,0.1663,0.04,2454967.425,0.00501,24.08821,0.000207,4259,200,200,-0.47,0.5,0.5,0.56,-1,-1,0.534,0.054,0.054,4.732,0.3,0.3,5.187,1.002,1.002,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.099,0.018,0.018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-334b,KTEP,287.14067,47.11519,12.89,11.4,0.1267,0.01,2454964.495,0.00211,5.470319,0.000021,5828,100,100,-0.08,0.1,0.1,0.991,-1,-1,1.068,0.194,0.194,4.385,0.15,0.15,1.148,0.456,0.456,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-334c,KTEP,287.14067,47.11519,12.89,11.4,0.1703,0.02,2454966.958,0.00256,12.758005,0.000055,5828,100,100,-0.08,0.1,0.1,0.991,-1,-1,1.068,0.194,0.194,4.385,0.15,0.15,1.148,0.456,0.456,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.128,0.023,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-334d,KTEP,287.14067,47.11519,12.89,11.4,0.1153,0.02,2454978.569,0.00345,25.09849,0.000142,5828,100,100,-0.08,0.1,0.1,0.991,-1,-1,1.068,0.194,0.194,4.385,0.15,0.15,1.148,0.456,0.456,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.126,0.023,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-335b,KTEP,296.06433,45.42861,14.13,12.49,0.1681,0.03,2454965.606,0.00278,6.562331,0.000031,5877,112,112,0.23,0.1,0.1,1.292,-1,-1,1.854,0.35,0.35,4.017,0.16,0.16,0.286,0.173,0.173,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.302,0.06,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-335c,KTEP,296.06433,45.42861,14.13,12.49,0.5065,0.02,2454982.499,0.01285,67.844469,0.001423,5877,112,112,0.23,0.1,0.1,1.292,-1,-1,1.854,0.35,0.35,4.017,0.16,0.16,0.286,0.173,0.173,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.274,0.059,0.059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-336b,KTEP,290.23762,41.33139,13.73,12.14,0.1151,0.01,2454965.356,0.00475,2.024823,0.000017,5867,100,100,0.16,0.1,0.1,1.131,-1,-1,1.304,0.23,0.23,4.264,0.15,0.15,0.72,0.351,0.351,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.091,0.017,0.017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-336c,KTEP,290.23762,41.33139,13.73,12.14,0.1768,0.03,2454969.582,0.00196,9.600001,0.000035,5867,100,100,0.16,0.1,0.1,1.131,-1,-1,1.304,0.23,0.23,4.264,0.15,0.15,0.72,0.351,0.351,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.187,0.033,0.033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-336d,KTEP,290.23762,41.33139,13.73,12.14,0.1881,0.03,2454984.691,0.00286,20.678772,0.000102,5867,100,100,0.16,0.1,0.1,1.131,-1,-1,1.304,0.23,0.23,4.264,0.15,0.15,0.72,0.351,0.351,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.211,0.043,0.043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-337b,KTEP,290.0605,47.16397,12.87,11.18,0.1986,0.01,2454966.01,0.00345,3.292781,0.000019,5684,175,175,0.02,0.1,0.1,1.119,-1,-1,1.761,0.485,0.485,4.004,0.25,0.25,0.289,0.362,0.362,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.137,0.038,0.038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-337c,KTEP,290.0605,47.16397,12.87,11.18,0.2295,0.01,2454965.812,0.00291,9.693201,0.000047,5684,175,175,0.02,0.1,0.1,1.119,-1,-1,1.761,0.485,0.485,4.004,0.25,0.25,0.289,0.362,0.362,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.183,0.051,0.051,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-338b,KTEP,282.97896,40.78436,12.24,10.75,0.3037,0.02,2454971.748,0.00247,13.726976,0.000059,5923,77,77,-0.07,0.1,0.1,1.144,-1,-1,1.735,0.082,0.082,4.017,0.073,0.073,0.309,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.218,0.012,0.012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-338c,KTEP,282.97896,40.78436,12.24,10.75,0.3675,0.02,2454970.041,0.00397,24.310856,0.000158,5923,77,77,-0.07,0.1,0.1,1.144,-1,-1,1.735,0.082,0.082,4.017,0.073,0.073,0.309,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.209,0.011,0.011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-338d,KTEP,282.97896,40.78436,12.24,10.75,0.4427,0.02,2454976.542,0.0048,44.431014,0.000368,5923,77,77,-0.07,0.1,0.1,1.144,-1,-1,1.735,0.082,0.082,4.017,0.073,0.073,0.309,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.268,0.025,0.025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-339b,KTEP,293.35171,48.44464,14.7,12.87,0.1064,0.03,2454967.672,0.00227,4.977656,0.000019,5631,200,200,-0.24,0.5,0.5,0.9,-1,-1,0.802,0.362,0.362,4.586,0.3,0.3,2.463,0.915,0.915,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.127,0.059,0.059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-339c,KTEP,293.35171,48.44464,14.7,12.87,0.1313,0.02,2454965.561,0.00446,6.988055,0.000053,5631,200,200,-0.24,0.5,0.5,0.9,-1,-1,0.802,0.362,0.362,4.586,0.3,0.3,2.463,0.915,0.915,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.103,0.046,0.046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-339d,KTEP,293.35171,48.44464,14.7,12.87,0.1421,0.02,2454969.347,0.0045,10.558345,0.000081,5631,200,200,-0.24,0.5,0.5,0.9,-1,-1,0.802,0.362,0.362,4.586,0.3,0.3,2.463,0.915,0.915,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.104,0.047,0.047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-340b,KTEP,295.93346,40.30058,12.35,11.58,0.2344,0.02,2454976.583,0.01595,14.844387,0.000473,6620,376,376,-0.02,0.1,0.1,1.422,-1,-1,1.85,0.416,0.416,4.063,0.15,0.15,0.317,0.182,0.182,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.226,0.054,0.054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-340c,KTEP,295.93346,40.30058,12.35,11.58,0.2756,0.03,2454977.466,0.00945,22.824669,0.000481,6620,376,376,-0.02,0.1,0.1,1.422,-1,-1,1.85,0.416,0.416,4.063,0.15,0.15,0.317,0.182,0.182,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.301,0.069,0.069,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-341b,KTEP,289.86158,43.47278,14.75,12.99,0.159,0.01,2454965.735,0.00557,5.195528,0.000053,6012,200,200,-0.14,0.5,0.5,1.042,-1,-1,1.024,0.519,0.519,4.437,0.3,0.3,1.369,0.455,0.455,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.105,0.055,0.055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-341c,KTEP,289.86158,43.47278,14.75,12.99,0.1757,0.03,2454968.315,0.00366,8.01041,0.000049,6012,200,200,-0.14,0.5,0.5,1.042,-1,-1,1.024,0.519,0.519,4.437,0.3,0.3,1.369,0.455,0.455,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.152,0.077,0.077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-341d,KTEP,289.86158,43.47278,14.75,12.99,0.252,0.03,2454976.868,0.0071,27.666313,0.000297,6012,200,200,-0.14,0.5,0.5,1.042,-1,-1,1.024,0.519,0.519,4.437,0.3,0.3,1.369,0.455,0.455,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.165,0.084,0.084,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-341e,KTEP,289.86158,43.47278,14.75,12.99,0.2987,0.03,2454979.278,0.00917,42.473269,0.000633,6012,200,200,-0.14,0.5,0.5,1.042,-1,-1,1.024,0.519,0.519,4.437,0.3,0.3,1.369,0.455,0.455,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.178,0.092,0.092,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-342b,KTEP,292.67808,46.72672,13.22,11.95,0.1673,0.02,2454965.663,0.00243,15.170318,0.000059,6175,100,100,-0.04,0.1,0.1,1.207,-1,-1,1.472,0.257,0.257,4.187,0.15,0.15,0.534,0.318,0.318,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.201,0.036,0.036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-342c,KTEP,292.67808,46.72672,13.22,11.95,0.1015,0.02,2454974.999,0.00377,26.234138,0.000163,6175,100,100,-0.04,0.1,0.1,1.207,-1,-1,1.472,0.257,0.257,4.187,0.15,0.15,0.534,0.318,0.318,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.175,0.031,0.031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-342d,KTEP,292.67808,46.72672,13.22,11.95,0.3402,0.02,2454969.462,0.00597,39.459357,0.000375,6175,100,100,-0.04,0.1,0.1,1.207,-1,-1,1.472,0.257,0.257,4.187,0.15,0.15,0.534,0.318,0.318,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.222,0.043,0.043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-342e,KTEP,292.67804,46.72669,13.22,11.96,0.1213,0.01,2454964.752,0.003,1.644221,0.0000059,6366,76,67,0.12,0.09,0.09,1.26,0.05,0.17,1.34,0.11,0.08,4.28,0.05,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.105,0.017,0.014,-1,-1,-1,-1,-1,-1,1897,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-343b,KTEP,291.96071,42.433,14.27,12.68,0.1803,0.02,2454972.39,0.00308,8.96855,0.000058,5807,100,100,0.13,0.1,0.1,1.139,-1,-1,1.433,0.261,0.261,4.184,0.15,0.15,0.546,0.323,0.323,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.215,0.045,0.045,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-343c,KTEP,291.96071,42.433,14.27,12.68,0.1128,0.02,2454984.066,0.00529,23.22182,0.000234,5807,100,100,0.13,0.1,0.1,1.139,-1,-1,1.433,0.261,0.261,4.184,0.15,0.15,0.546,0.323,0.323,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.18,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-344b,KTEP,292.49962,46.32442,15.56,13.66,0.1115,0.07,2454966.036,0.00287,21.963945,0.000108,5774,200,200,-0.1,0.5,0.5,0.979,-1,-1,0.976,0.454,0.454,4.451,0.3,0.3,1.486,0.518,0.518,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.233,0.109,0.109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-344c,KTEP,292.49962,46.32442,15.56,13.66,0.3139,0.09,2455048.442,0.00546,125.596809,0.001728,5774,200,200,-0.1,0.5,0.5,0.979,-1,-1,0.976,0.454,0.454,4.451,0.3,0.3,1.486,0.518,0.518,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.263,0.123,0.123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-346b,KTEP,288.01192,46.11761,15.33,13.58,0.0629,0.07,2454964.706,0.00166,6.511127,0.000017,6033,200,200,-0.03,0.5,0.5,1.103,-1,-1,1.021,0.476,0.476,4.464,0.3,0.3,1.462,0.399,0.399,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.237,0.111,0.111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-346c,KTEP,288.01192,46.11761,15.33,13.58,0.0994,0.08,2454980.617,0.00271,23.851549,0.000098,6033,200,200,-0.03,0.5,0.5,1.103,-1,-1,1.021,0.476,0.476,4.464,0.3,0.3,1.462,0.399,0.399,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.274,0.13,0.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-347b,KTEP,289.19958,49.30572,14.64,13.04,0.2602,0.03,2454966.648,0.00481,12.79836,0.000106,6088,200,200,-0.07,0.5,0.5,1.088,-1,-1,1.005,0.464,0.464,4.472,0.3,0.3,1.513,0.461,0.461,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.176,0.084,0.084,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-347c,KTEP,289.19958,49.30572,14.64,13.04,0.1636,0.03,2454987.306,0.00991,27.320871,0.000457,6088,200,200,-0.07,0.5,0.5,1.088,-1,-1,1.005,0.464,0.464,4.472,0.3,0.3,1.513,0.461,0.461,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.156,0.075,0.075,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-348b,KTEP,297.25504,40.54836,12.64,11.37,0.0795,0.01,2454965.532,0.00236,7.05677,0.000031,6177,100,100,-0.06,0.1,0.1,1.169,-1,-1,1.359,0.251,0.251,4.244,0.15,0.15,0.657,0.325,0.325,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.136,0.026,0.026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-348c,KTEP,297.25504,40.54836,12.64,11.37,0.2161,0.01,2454968.357,0.00636,17.265427,0.000179,6177,100,100,-0.06,0.1,0.1,1.169,-1,-1,1.359,0.251,0.251,4.244,0.15,0.15,0.657,0.325,0.325,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.119,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-349b,KTEP,293.6765,44.61558,14.88,13.17,0.0985,0.04,2454968.491,0.00193,5.929778,0.00002,5956,200,200,-0.09,0.5,0.5,1.029,-1,-1,0.927,0.349,0.349,4.518,0.3,0.3,1.822,0.582,0.582,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.17,0.064,0.064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-349c,KTEP,293.6765,44.61558,14.88,13.17,0.1366,0.04,2454971.217,0.00304,12.247629,0.000063,5956,200,200,-0.09,0.5,0.5,1.029,-1,-1,0.927,0.349,0.349,4.518,0.3,0.3,1.822,0.582,0.582,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.175,0.066,0.066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-350b,KTEP,285.41962,39.70611,13.91,12.39,0.2133,0.01,2454973.631,0.00699,11.189562,0.000119,6186,100,100,-0.09,0.1,0.1,1.202,-1,-1,1.534,0.306,0.306,4.15,0.17,0.17,0.47,0.292,0.292,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.165,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-350c,KTEP,285.41962,39.70611,13.91,12.39,0.236,0.04,2454981.388,0.00297,17.848568,0.000091,6186,100,100,-0.09,0.1,0.1,1.202,-1,-1,1.534,0.306,0.306,4.15,0.17,0.17,0.47,0.292,0.292,-1,-1,-1,-1,-1,-1,0,0.106,0,0.279,0.056,0.056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-350d,KTEP,285.41962,39.70611,13.91,12.39,0.276,0.03,2454964.623,0.00417,26.13591,0.000193,6186,100,100,-0.09,0.1,0.1,1.202,-1,-1,1.534,0.306,0.306,4.15,0.17,0.17,0.47,0.292,0.292,-1,-1,-1,-1,-1,-1,0,3.52,0,0.247,0.05,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-351b,KTEP,286.45271,42.65789,16.19,14.09,0.2134,0.1,2455033.2,0.00698,37.054919,0.000484,5643,200,200,-0.13,0.5,0.5,0.955,-1,-1,0.854,0.414,0.414,4.556,0.3,0.3,2.164,0.77,0.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.273,0.138,0.138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-351c,KTEP,286.45271,42.65789,16.19,14.09,0.2468,0.14,2455017.694,0.00492,57.24809,0.000599,5643,200,200,-0.13,0.5,0.5,0.955,-1,-1,0.854,0.414,0.414,4.556,0.3,0.3,2.164,0.77,0.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.285,0.138,0.138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-351d,KTEP,286.45267,42.65786,16.19,14.1,0.3646,0.09,2455035.88,0.012,142.545,0.003,5225,61,58,-0.16,0.16,0.23,0.81,0.05,0.04,0.78,0.05,0.07,4.58,0.04,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.225,0.062,0.021,-1,-1,-1,-1,-1,-1,318,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-352b,KTEP,299.8965,46.05197,13.16,11.13,0.1235,0.01,2455006.233,0.00547,10.05537,0.000194,5212,100,100,-0.14,0.1,0.1,0.82,-1,-1,0.781,0.053,0.053,4.566,0.15,0.15,2.43,0.404,0.404,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.077,0.007,0.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-352c,KTEP,299.8965,46.05197,13.16,11.13,0.0884,0.03,2454969.906,0.00512,16.332995,0.000272,5212,100,100,-0.14,0.1,0.1,0.82,-1,-1,0.781,0.053,0.053,4.566,0.15,0.15,2.43,0.404,0.404,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.111,0.009,0.009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-353b,KTEP,296.85663,41.75817,16.32,12.8,0.091,0.03,2454969.782,0.00569,5.795278,0.000055,3903,100,100,-0.2,0.1,0.1,0.521,-1,-1,0.504,0.016,0.016,4.751,0.1,0.1,5.739,0.355,0.355,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.079,0.005,0.005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-353c,KTEP,296.85663,41.75817,16.32,12.8,0.0939,0.07,2454966.805,0.00265,8.410894,0.000039,3903,100,100,-0.2,0.1,0.1,0.521,-1,-1,0.504,0.016,0.016,4.751,0.1,0.1,5.739,0.355,0.355,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.123,0.006,0.006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-354b,KTEP,285.75146,41.33564,15.9,13.16,0.1043,0.06,2454968.702,0.00241,5.47666,0.000024,4648,200,200,-0.04,0.5,0.5,0.699,-1,-1,0.674,0.21,0.21,4.627,0.3,0.3,3.223,1.065,1.065,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.164,0.052,0.052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-354c,KTEP,285.75146,41.33564,15.9,13.16,0.144,0.04,2454970.268,0.0084,16.934402,0.000228,4648,200,200,-0.04,0.5,0.5,0.699,-1,-1,0.674,0.21,0.21,4.627,0.3,0.3,3.223,1.065,1.065,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.117,0.037,0.037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-354d,KTEP,285.75146,41.33564,15.9,13.16,0.1822,0.04,2454974.476,0.01256,24.209842,0.000403,4648,200,200,-0.04,0.5,0.5,0.699,-1,-1,0.674,0.21,0.21,4.627,0.3,0.3,3.223,1.065,1.065,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.111,0.036,0.036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
