planet,mp,mpe+,mpe-,rp,rpe+,rpe-,P,Pe,teq,teqe,dp,dpe,Fp,Fpe,ms,mse+,mse-,rs,rse+,rse-,teff,teffe,logg,met,Host type,Likely nature,migrationA_photev_wwprob,migrationA_photev_wwprobe,migrationB_photev_wwprob,migrationB_photev_wwprobe,migrationB_impact_wwprob,migrationB_impact_wwprobe,TSM,K_RV,ref
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-24 c,9.979437374,2.002243804,1.65264568,2.516976236,0.097626809,0.097626809,12.33336,0.000119,1291.534737,,0.625847773,0.117148548,1.351607058,0.25299891,1.06,0.069,0.069,1.099,0.039,0.039,5897,219,4.2,-0.37,G,gas-rich,34.4,24.8,31.7,19.6,43,18.4,3.8,,2023A+A...669A.117L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-30 b,9.184896182,0.095344943,0.095344943,3.759193219,0.179543557,0.179543557,29.2187,0.0009,849.9887898,,0.130600399,0.019952839,2.064449721,0.100902585,0.99,0.08,0.08,0.95,0.12,0.12,5498,54,4.77,0.18,G,gas-rich,59.7,5.3,80.5,5.9,83,2.9,11.1,,2018MNRAS.478.2480P
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-33 e,6.610582719,1.112357669,0.985231078,3.545985246,0.089771778,0.089771778,31.7852,0.0002,1134.670972,,0.108833666,0.018138944,2.128386556,0.341948771,1.26,0.03,0.06,1.66,0.03,0.03,5947,60,,0.14,G,gas-rich,61.3,8.8,81.7,8.1,85.3,3.6,9.5,,2022AJ....164..242S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-33 f,8.199665104,1.589082384,1.207702612,3.961179721,0.089771778,0.089771778,41.0274,0.0002,1040.728876,,0.090694722,0.018138944,2.243120601,0.385910611,1.26,0.03,0.06,1.66,0.03,0.03,5947,60,,0.14,G,gas-rich,64,8.4,88,6.9,88.8,4.2,9.8,,2022AJ....164..242S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-36 b,4.322304086,0.190689886,0.190689886,1.491333668,0.034786564,0.034786564,13.83989,0.00071,978,11,1.01940867,0.090694722,1.004060476,0.050107146,1.071,0.043,0.043,1.626,0.019,0.019,5911,66,4.045,-0.2,G,bare rocky,5.4,10.7,3.6,8.7,5.8,9.7,0.3,,2012Sci...337..556C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-36 c,7.850066979,0.349598125,0.349598125,3.684009355,0.056107361,0.056107361,16.23855,0.00046,928,10,0.121530927,0.008162525,2.110877637,0.09935186,1.071,0.043,0.043,1.626,0.019,0.019,5911,66,4.045,-0.2,G,gas-rich,45.2,7.6,56.7,10.7,60.9,5.2,17.1,,2012ApJ...755L..21D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-60 b,5.243971869,0.444943068,0.444943068,1.890818082,0.061718098,0.06059595,7.13285,0.0001,1789.433803,,0.775730939,0.070439673,1.208222582,0.109711757,1.131,0.082,0.082,1.434,0.039,0.039,6024,113,,0.02,G,bare water,33.2,30.5,25.8,25.7,23.4,15.9,3.9,,2023A+A...669A.117L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
